Date,Year,Season,Crop,State,District,Irrigation_Type,Area_ha,Fertilizer_Use,Yield_kg_ha,Production_tons
2016-03-25,2016,Kharif,Cotton,Maharashtra,Nashik,Drip,1045.38,106.0,797.0,833.17
2023-05-18,2023,Kharif,Oilseeds,Gujarat,Vadodara,Rainfed,148.2,149.0,1208.0,179.03
2015-07-12,2015,Kharif,Cotton,Andhra Pradesh,Visakhapatnam,Canal,232.88,199.0,1579.0,367.72
2017-02-09,2017,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,275.38,57.0,7241.0,1994.03
2023-01-23,2023,Perennial,Sugarcane,Tamil Nadu,Coimbatore,Drip,434.0,193.0,94258.0,40907.97
2022-05-14,2022,Kharif,Rice,Assam,Cachar,Rainfed,455.0,61.0,3809.0,1733.1
2019-03-02,2019,Zaid,Coconut,Kerala,Kozhikode,Drip,495.7,119.0,9208.0,4564.41
2023-12-14,2023,Kharif,Maize,Bihar,Patna,Tube Well,778.44,122.0,6317.0,4917.41
2021-04-02,2021,Kharif,Oilseeds,Maharashtra,Nashik,Tube Well,1049.37,90.0,2280.0,2392.56
2019-11-04,2019,Zaid,Coconut,Kerala,Ernakulam,Rainfed,231.28,135.0,7027.0,1625.2
2023-07-27,2023,Perennial,Sugarcane,Maharashtra,Mumbai,Tube Well,708.27,175.0,107053.0,75822.43
2017-09-17,2017,Perennial,Coffee,Karnataka,Hubli,Tube Well,144.64,94.0,1018.0,147.24
2017-10-11,2017,Rabi,Oilseeds,Rajasthan,Jodhpur,Rainfed,590.99,61.0,2521.0,1489.89
2015-12-26,2015,Kharif,Maize,Telangana,Hyderabad,Rainfed,762.45,145.0,3448.0,2628.93
2018-08-23,2018,Zaid,Coconut,Karnataka,Mysore,Canal,336.46,163.0,6240.0,2099.51
2018-10-17,2018,Kharif,Rice,Uttar Pradesh,Lucknow,Canal,249.32,193.0,4968.0,1238.62
2015-12-09,2015,Rabi,Potato,West Bengal,Darjeeling,Rainfed,86.4,74.0,12693.0,1096.68
2018-11-27,2018,Kharif,Maize,Bihar,Gaya,Canal,579.23,185.0,7972.0,4617.62
2023-12-22,2023,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,82.23,122.0,2246.0,184.69
2020-05-31,2020,Kharif,Maize,Karnataka,Belgaum,Tube Well,751.85,85.0,4657.0,3501.37
2017-07-01,2017,Kharif,Cotton,Andhra Pradesh,Visakhapatnam,Canal,816.97,194.0,1063.0,868.44
2018-12-07,2018,Perennial,Apple,Himachal Pradesh,Mandi,Rainfed,310.85,86.0,6942.0,2157.92
2023-08-11,2023,Kharif,Oilseeds,Gujarat,Surat,Rainfed,1053.11,160.0,1756.0,1849.26
2019-11-09,2019,Rabi,Oilseeds,Gujarat,Rajkot,Rainfed,460.15,168.0,2376.0,1093.32
2021-02-28,2021,Kharif,Cotton,Maharashtra,Pune,Tube Well,1173.93,115.0,1418.0,1664.63
2016-06-08,2016,Kharif,Maize,Telangana,Hyderabad,Tube Well,42.86,153.0,5704.0,244.47
2025-04-06,2025,Kharif,Rice,Punjab,Ludhiana,Tube Well,178.01,136.0,3992.0,710.62
2017-12-17,2017,Kharif,Cotton,Telangana,Warangal,Tube Well,376.86,79.0,1248.0,470.32
2015-06-05,2015,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,241.66,164.0,5774.0,1395.34
2019-09-13,2019,Kharif,Oilseeds,Maharashtra,Mumbai,Tube Well,51.76,189.0,2358.0,122.05
2018-01-18,2018,Perennial,Sugarcane,Maharashtra,Pune,Tube Well,741.99,123.0,95691.0,71001.77
2023-04-19,2023,Rabi,Wheat,Haryana,Gurgaon,Canal,437.28,199.0,4986.0,2180.28
2022-05-26,2022,Rabi,Pulses,Maharashtra,Nagpur,Rainfed,1154.42,114.0,1002.0,1156.73
2021-08-17,2021,Rabi,Oilseeds,Maharashtra,Nashik,Rainfed,697.94,122.0,1921.0,1340.74
2024-09-08,2024,Rabi,Oilseeds,Gujarat,Rajkot,Tube Well,709.59,151.0,2948.0,2091.87
2018-08-17,2018,Zaid,Coconut,Karnataka,Bangalore,Drip,1040.73,78.0,10668.0,11102.51
2025-03-06,2025,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,613.7,185.0,3139.0,1926.4
2024-11-14,2024,Kharif,Cotton,Maharashtra,Mumbai,Drip,575.37,170.0,1441.0,829.11
2023-07-21,2023,Perennial,Coffee,Karnataka,Mysore,Canal,529.8,181.0,1332.0,705.69
2016-10-15,2016,Perennial,Tea,West Bengal,Kolkata,Canal,716.24,141.0,1554.0,1113.04
2015-03-04,2015,Perennial,Sugarcane,Tamil Nadu,Madurai,Canal,228.22,183.0,80180.0,18298.68
2017-03-23,2017,Rabi,Pulses,Rajasthan,Jaipur,Rainfed,71.17,152.0,1983.0,141.13
2021-07-26,2021,Zaid,Coconut,Kerala,Ernakulam,Drip,255.88,127.0,13587.0,3476.64
2024-06-28,2024,Rabi,Pulses,Maharashtra,Pune,Tube Well,1014.11,190.0,2527.0,2562.66
2020-06-14,2020,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,213.29,116.0,3720.0,793.44
2019-05-18,2019,Kharif,Maize,Karnataka,Belgaum,Tube Well,152.53,125.0,6945.0,1059.32
2020-06-19,2020,Rabi,Pulses,Uttar Pradesh,Lucknow,Tube Well,336.34,75.0,1969.0,662.25
2023-04-08,2023,Kharif,Pulses,Rajasthan,Udaipur,Tube Well,478.49,192.0,2343.0,1121.1
2019-03-20,2019,Kharif,Pulses,Uttar Pradesh,Kanpur,Tube Well,924.78,83.0,1361.0,1258.63
2021-01-06,2021,Perennial,Apple,Himachal Pradesh,Mandi,Rainfed,347.27,80.0,13903.0,4828.09
2018-12-16,2018,Kharif,Cotton,Maharashtra,Nashik,Drip,425.33,65.0,1073.0,456.38
2023-06-07,2023,Kharif,Rice,Assam,Kamrup,Rainfed,721.68,118.0,2726.0,1967.3
2019-10-22,2019,Kharif,Maize,Telangana,Hyderabad,Rainfed,412.08,91.0,3534.0,1456.29
2018-02-13,2018,Perennial,Tea,Assam,Dibrugarh,Rainfed,415.83,161.0,2445.0,1016.7
2017-10-04,2017,Rabi,Oilseeds,Maharashtra,Pune,Rainfed,1233.96,96.0,1475.0,1820.09
2017-03-30,2017,Rabi,Oilseeds,Gujarat,Rajkot,Tube Well,1175.34,158.0,1514.0,1779.46
2025-01-06,2025,Perennial,Sugarcane,Karnataka,Belgaum,Drip,731.08,79.0,94454.0,69053.43
2020-04-21,2020,Perennial,Sugarcane,Uttar Pradesh,Varanasi,Canal,1417.77,84.0,116456.0,165107.82
2020-06-07,2020,Kharif,Oilseeds,Gujarat,Ahmedabad,Tube Well,654.39,171.0,2612.0,1709.27
2019-04-18,2019,Rabi,Wheat,Bihar,Purnia,Tube Well,314.21,106.0,4613.0,1449.45
2015-03-30,2015,Zaid,Coconut,Karnataka,Mysore,Drip,353.45,67.0,13723.0,4850.39
2024-08-19,2024,Rabi,Oilseeds,Maharashtra,Nagpur,Rainfed,731.03,194.0,3148.0,2301.28
2016-04-21,2016,Kharif,Pulses,Uttar Pradesh,Varanasi,Tube Well,911.5,77.0,1826.0,1664.4
2025-04-24,2025,Perennial,Apple,Himachal Pradesh,Mandi,Rainfed,225.41,73.0,11292.0,2545.33
2024-01-14,2024,Rabi,Wheat,Bihar,Purnia,Canal,884.93,104.0,3356.0,2969.83
2015-06-16,2015,Kharif,Maize,Telangana,Warangal,Rainfed,389.76,64.0,3052.0,1189.55
2016-02-19,2016,Rabi,Oilseeds,Rajasthan,Jaipur,Rainfed,198.66,73.0,1945.0,386.39
2023-05-29,2023,Kharif,Oilseeds,Rajasthan,Jodhpur,Rainfed,15.51,177.0,1152.0,17.87
2022-12-21,2022,Kharif,Maize,Madhya Pradesh,Bhopal,Tube Well,776.75,76.0,5320.0,4132.31
2015-06-15,2015,Zaid,Coconut,Andhra Pradesh,Visakhapatnam,Canal,990.93,67.0,5977.0,5922.79
2022-01-21,2022,Kharif,Pulses,Madhya Pradesh,Bhopal,Tube Well,496.29,182.0,1352.0,670.98
2021-11-18,2021,Rabi,Pulses,Uttar Pradesh,Kanpur,Tube Well,1247.51,117.0,2406.0,3001.51
2016-08-09,2016,Rabi,Wheat,Uttar Pradesh,Varanasi,Rainfed,1217.33,74.0,3095.0,3767.64
2016-02-24,2016,Kharif,Maize,Maharashtra,Mumbai,Tube Well,1212.09,137.0,6664.0,8077.37
2021-12-06,2021,Perennial,Coffee,Kerala,Kozhikode,Rainfed,314.99,56.0,824.0,259.55
2022-11-05,2022,Kharif,Oilseeds,Gujarat,Surat,Tube Well,670.27,114.0,2369.0,1587.87
2024-01-09,2024,Kharif,Pulses,Maharashtra,Mumbai,Rainfed,137.23,139.0,1234.0,169.34
2018-10-03,2018,Kharif,Maize,Madhya Pradesh,Bhopal,Rainfed,772.6,194.0,4988.0,3853.73
2018-11-18,2018,Kharif,Rice,Chhattisgarh,Raipur,Rainfed,689.74,99.0,3717.0,2563.76
2017-01-18,2017,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,633.38,165.0,1942.0,1230.02
2017-05-07,2017,Zaid,Coconut,Andhra Pradesh,Chittoor,Canal,550.4,70.0,7605.0,4185.79
2018-07-06,2018,Perennial,Sugarcane,Uttar Pradesh,Kanpur,Rainfed,749.88,115.0,76008.0,56996.88
2023-03-16,2023,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,353.94,83.0,1211.0,428.62
2019-01-16,2019,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,241.72,124.0,2727.0,659.17
2020-05-03,2020,Zaid,Coconut,Tamil Nadu,Chennai,Tube Well,585.29,113.0,13692.0,8013.79
2021-09-03,2021,Perennial,Coffee,Karnataka,Hubli,Canal,68.26,197.0,1298.0,88.6
2021-05-04,2021,Rabi,Oilseeds,Rajasthan,Udaipur,Rainfed,694.4,188.0,2184.0,1516.57
2022-02-27,2022,Kharif,Rice,Odisha,Bhubaneswar,Canal,387.4,137.0,6945.0,2690.49
2016-07-30,2016,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,742.62,76.0,3212.0,2385.3
2023-07-01,2023,Zaid,Coconut,Karnataka,Belgaum,Tube Well,799.46,134.0,7690.0,6147.85
2019-09-22,2019,Perennial,Tea,West Bengal,Kolkata,Rainfed,326.04,169.0,1583.0,516.12
2024-06-01,2024,Kharif,Rice,Assam,Kamrup,Rainfed,185.42,56.0,2050.0,380.11
2023-05-24,2023,Kharif,Pulses,Uttar Pradesh,Varanasi,Rainfed,1493.56,115.0,1641.0,2450.93
2020-11-03,2020,Perennial,Sugarcane,Maharashtra,Mumbai,Tube Well,1006.04,56.0,76630.0,77092.85
2018-05-24,2018,Perennial,Coffee,Tamil Nadu,Chennai,Tube Well,282.13,87.0,1280.0,361.13
2021-10-06,2021,Perennial,Tea,Kerala,Kozhikode,Drip,63.28,64.0,2766.0,175.03
2024-06-12,2024,Zaid,Coconut,Tamil Nadu,Chennai,Canal,769.64,194.0,16520.0,12714.45
2015-09-26,2015,Kharif,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,249.38,75.0,1560.0,389.03
2024-01-24,2024,Rabi,Pulses,Uttar Pradesh,Kanpur,Canal,339.78,73.0,1362.0,462.78
2023-11-08,2023,Rabi,Oilseeds,Gujarat,Rajkot,Tube Well,884.58,196.0,4007.0,3544.51
2023-09-26,2023,Kharif,Rice,Odisha,Bhubaneswar,Canal,614.54,127.0,4354.0,2675.71
2022-07-29,2022,Rabi,Potato,Uttar Pradesh,Varanasi,Canal,727.3,164.0,38962.0,28337.06
2016-10-19,2016,Zaid,Coconut,Tamil Nadu,Madurai,Drip,1037.49,99.0,7134.0,7401.45
2021-02-16,2021,Kharif,Cotton,Gujarat,Ahmedabad,Rainfed,818.77,130.0,1179.0,965.33
2018-05-28,2018,Zaid,Coconut,Tamil Nadu,Madurai,Tube Well,983.83,51.0,9063.0,8916.45
2023-05-13,2023,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,160.54,111.0,1729.0,277.57
2022-01-28,2022,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,125.69,133.0,10862.0,1365.24
2022-03-03,2022,Kharif,Maize,Bihar,Patna,Canal,113.47,127.0,7769.0,881.55
2017-03-25,2017,Kharif,Maize,Telangana,Nizamabad,Rainfed,281.08,111.0,4209.0,1183.07
2021-09-12,2021,Rabi,Oilseeds,Rajasthan,Jodhpur,Tube Well,680.53,168.0,1928.0,1312.06
2025-01-12,2025,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,770.66,125.0,1544.0,1189.9
2019-06-29,2019,Zaid,Coconut,Kerala,Thrissur,Drip,610.71,145.0,15880.0,9698.07
2023-06-07,2023,Zaid,Coconut,Andhra Pradesh,Chittoor,Rainfed,630.05,78.0,4724.0,2976.36
2017-03-11,2017,Kharif,Maize,Bihar,Muzaffarpur,Canal,782.97,179.0,4716.0,3692.49
2019-11-29,2019,Rabi,Oilseeds,Maharashtra,Nashik,Drip,724.0,104.0,1541.0,1115.68
2016-08-14,2016,Rabi,Potato,Punjab,Patiala,Tube Well,15.23,122.0,19221.0,292.74
2020-01-25,2020,Kharif,Pulses,Rajasthan,Jaipur,Tube Well,356.07,103.0,1029.0,366.4
2016-02-16,2016,Perennial,Sugarcane,Karnataka,Mysore,Drip,662.83,184.0,113222.0,75046.94
2021-09-13,2021,Perennial,Tea,West Bengal,Darjeeling,Rainfed,299.67,185.0,2339.0,700.93
2022-11-19,2022,Rabi,Pulses,Uttar Pradesh,Kanpur,Canal,312.91,84.0,2118.0,662.74
2018-01-05,2018,Zaid,Coconut,Andhra Pradesh,Chittoor,Canal,335.83,163.0,13379.0,4493.07
2016-03-15,2016,Rabi,Oilseeds,Gujarat,Surat,Tube Well,752.12,65.0,1886.0,1418.5
2020-07-18,2020,Perennial,Coffee,Kerala,Ernakulam,Rainfed,125.39,54.0,1121.0,140.56
2017-11-28,2017,Rabi,Pulses,Uttar Pradesh,Kanpur,Canal,1083.29,175.0,2238.0,2424.4
2018-08-23,2018,Zaid,Coconut,Karnataka,Mysore,Drip,470.72,70.0,14156.0,6663.51
2022-11-30,2022,Perennial,Sugarcane,Tamil Nadu,Chennai,Canal,395.15,73.0,92760.0,36654.11
2022-12-18,2022,Kharif,Oilseeds,Rajasthan,Udaipur,Rainfed,566.99,141.0,1447.0,820.43
2017-10-21,2017,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,207.36,173.0,12724.0,2638.45
2025-09-29,2025,Kharif,Maize,Madhya Pradesh,Bhopal,Rainfed,308.94,78.0,3281.0,1013.63
2016-06-15,2016,Kharif,Cotton,Gujarat,Vadodara,Tube Well,1055.0,67.0,1392.0,1468.56
2022-05-31,2022,Kharif,Maize,Bihar,Muzaffarpur,Canal,374.57,62.0,6279.0,2351.93
2024-09-01,2024,Perennial,Tea,Assam,Tinsukia,Rainfed,688.61,54.0,1936.0,1333.15
2019-03-09,2019,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,206.64,67.0,10974.0,2267.67
2017-05-14,2017,Zaid,Coconut,Andhra Pradesh,Visakhapatnam,Tube Well,257.53,191.0,7048.0,1815.07
2016-06-18,2016,Zaid,Coconut,Tamil Nadu,Coimbatore,Canal,677.97,64.0,9526.0,6458.34
2018-06-11,2018,Rabi,Potato,Uttar Pradesh,Kanpur,Rainfed,435.13,140.0,24456.0,10641.54
2017-04-28,2017,Perennial,Sugarcane,Uttar Pradesh,Varanasi,Tube Well,229.26,188.0,90198.0,20678.79
2018-04-15,2018,Rabi,Potato,Uttar Pradesh,Kanpur,Tube Well,138.93,144.0,32229.0,4477.57
2015-07-02,2015,Kharif,Oilseeds,Maharashtra,Mumbai,Drip,321.79,55.0,3333.0,1072.53
2020-09-09,2020,Kharif,Cotton,Maharashtra,Nashik,Rainfed,960.16,139.0,657.0,630.83
2021-02-02,2021,Zaid,Coconut,Tamil Nadu,Madurai,Drip,923.42,185.0,8885.0,8204.59
2024-01-28,2024,Zaid,Coconut,Kerala,Ernakulam,Drip,690.76,98.0,15159.0,10471.23
2015-12-08,2015,Kharif,Rice,Telangana,Nizamabad,Canal,250.43,97.0,2646.0,662.64
2020-04-05,2020,Kharif,Rice,Uttar Pradesh,Varanasi,Canal,994.85,87.0,3566.0,3547.64
2019-11-09,2019,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,122.87,126.0,9401.0,1155.1
2025-10-25,2025,Kharif,Cotton,Gujarat,Surat,Tube Well,751.09,86.0,1156.0,868.26
2020-12-20,2020,Zaid,Coconut,Andhra Pradesh,Krishna,Canal,1065.78,159.0,17505.0,18656.48
2016-09-14,2016,Perennial,Tea,Kerala,Kozhikode,Drip,42.31,147.0,2323.0,98.29
2018-12-01,2018,Rabi,Oilseeds,Rajasthan,Jodhpur,Tube Well,689.81,110.0,3732.0,2574.37
2023-05-28,2023,Kharif,Pulses,Maharashtra,Mumbai,Tube Well,1076.94,158.0,1734.0,1867.41
2016-10-06,2016,Zaid,Coconut,Andhra Pradesh,Visakhapatnam,Tube Well,916.38,65.0,11329.0,10381.67
2021-10-03,2021,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,348.77,162.0,7330.0,2556.48
2017-02-15,2017,Rabi,Pulses,Uttar Pradesh,Kanpur,Tube Well,1157.71,140.0,1835.0,2124.4
2019-11-23,2019,Perennial,Coffee,Kerala,Kozhikode,Rainfed,795.73,145.0,1469.0,1168.93
2015-09-22,2015,Kharif,Maize,Karnataka,Hubli,Canal,849.51,60.0,4847.0,4117.57
2019-09-03,2019,Rabi,Wheat,Madhya Pradesh,Bhopal,Tube Well,287.76,143.0,3015.0,867.6
2018-10-27,2018,Zaid,Coconut,Kerala,Thrissur,Rainfed,495.0,124.0,8453.0,4184.23
2021-07-05,2021,Perennial,Coffee,Karnataka,Hubli,Drip,377.25,123.0,1346.0,507.78
2016-05-04,2016,Kharif,Oilseeds,Maharashtra,Mumbai,Tube Well,1261.38,98.0,1839.0,2319.68
2021-04-04,2021,Perennial,Coffee,Kerala,Ernakulam,Rainfed,721.11,51.0,1268.0,914.37
2019-02-09,2019,Rabi,Wheat,Bihar,Patna,Tube Well,571.94,113.0,4148.0,2372.41
2015-08-18,2015,Kharif,Maize,Karnataka,Belgaum,Canal,861.59,110.0,5432.0,4680.16
2016-09-06,2016,Kharif,Cotton,Gujarat,Rajkot,Tube Well,1092.53,113.0,1550.0,1693.42
2020-04-05,2020,Perennial,Coffee,Kerala,Kozhikode,Rainfed,202.44,142.0,679.0,137.46
2022-09-04,2022,Kharif,Cotton,Andhra Pradesh,Guntur,Rainfed,699.58,95.0,1058.0,740.16
2020-11-08,2020,Kharif,Oilseeds,Rajasthan,Udaipur,Rainfed,342.38,90.0,1420.0,486.18
2025-03-12,2025,Kharif,Pulses,Maharashtra,Nagpur,Drip,1005.35,125.0,1563.0,1571.36
2016-07-15,2016,Perennial,Apple,Jammu and Kashmir,Srinagar,Rainfed,157.84,139.0,10583.0,1670.42
2016-08-11,2016,Rabi,Wheat,Rajasthan,Jodhpur,Rainfed,499.2,135.0,3500.0,1747.2
2015-10-09,2015,Zaid,Coconut,Kerala,Thrissur,Rainfed,328.36,182.0,10834.0,3557.45
2022-08-23,2022,Kharif,Maize,Maharashtra,Nashik,Drip,153.29,165.0,4715.0,722.76
2019-05-13,2019,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Rainfed,94.63,58.0,1439.0,136.17
2020-06-17,2020,Rabi,Oilseeds,Rajasthan,Jodhpur,Tube Well,92.15,135.0,3123.0,287.78
2021-08-17,2021,Perennial,Coffee,Kerala,Ernakulam,Rainfed,35.69,113.0,1408.0,50.25
2018-06-10,2018,Perennial,Coffee,Karnataka,Hubli,Tube Well,590.94,104.0,1491.0,881.09
2023-07-07,2023,Kharif,Maize,Madhya Pradesh,Bhopal,Tube Well,540.8,194.0,5625.0,3042.0
2018-02-05,2018,Rabi,Potato,Uttar Pradesh,Lucknow,Tube Well,198.83,119.0,26377.0,5244.54
2021-08-31,2021,Kharif,Cotton,Andhra Pradesh,Guntur,Tube Well,738.11,158.0,1284.0,947.73
2023-04-11,2023,Rabi,Wheat,Bihar,Patna,Rainfed,601.76,195.0,2636.0,1586.24
2017-09-05,2017,Kharif,Cotton,Maharashtra,Pune,Rainfed,199.75,73.0,787.0,157.2
2023-02-09,2023,Kharif,Rice,Tamil Nadu,Chennai,Drip,450.45,58.0,4337.0,1953.6
2024-09-06,2024,Kharif,Maize,Madhya Pradesh,Bhopal,Tube Well,606.56,97.0,5045.0,3060.1
2021-03-14,2021,Rabi,Potato,West Bengal,Howrah,Canal,28.26,57.0,27342.0,772.68
2020-10-17,2020,Kharif,Cotton,Gujarat,Surat,Rainfed,184.87,68.0,848.0,156.77
2021-10-22,2021,Zaid,Coconut,Karnataka,Mysore,Drip,1095.45,199.0,19100.0,20923.1
2023-08-12,2023,Rabi,Pulses,Uttar Pradesh,Varanasi,Canal,1102.98,194.0,2031.0,2240.15
2017-02-03,2017,Kharif,Rice,Odisha,Bhubaneswar,Canal,423.08,154.0,5210.0,2204.25
2016-09-13,2016,Zaid,Coconut,Kerala,Ernakulam,Rainfed,507.54,163.0,5804.0,2945.76
2022-03-03,2022,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,678.51,71.0,1367.0,927.52
2021-07-31,2021,Rabi,Potato,West Bengal,Darjeeling,Rainfed,928.11,139.0,11367.0,10549.83
2020-08-10,2020,Rabi,Potato,Bihar,Purnia,Rainfed,331.45,73.0,12236.0,4055.62
2023-04-06,2023,Kharif,Maize,Madhya Pradesh,Bhopal,Tube Well,398.12,107.0,4501.0,1791.94
2025-08-01,2025,Kharif,Cotton,Maharashtra,Pune,Tube Well,833.09,102.0,1150.0,958.05
2025-03-20,2025,Kharif,Maize,Maharashtra,Nagpur,Drip,102.75,142.0,6959.0,715.04
2019-12-11,2019,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,473.44,62.0,11963.0,5663.76
2021-03-22,2021,Rabi,Wheat,Uttar Pradesh,Varanasi,Rainfed,654.79,66.0,2720.0,1781.03
2021-12-31,2021,Rabi,Oilseeds,Gujarat,Vadodara,Tube Well,451.33,141.0,2650.0,1196.02
2024-03-06,2024,Rabi,Oilseeds,Maharashtra,Pune,Drip,1180.16,145.0,1968.0,2322.55
2017-05-31,2017,Kharif,Rice,West Bengal,Kolkata,Rainfed,138.93,101.0,4193.0,582.53
2016-07-14,2016,Rabi,Pulses,Rajasthan,Jodhpur,Tube Well,37.09,72.0,966.0,35.83
2015-09-01,2015,Zaid,Coconut,Andhra Pradesh,Krishna,Canal,825.15,183.0,11241.0,9275.51
2021-06-01,2021,Kharif,Pulses,Maharashtra,Nashik,Rainfed,506.65,58.0,938.0,475.24
2020-12-22,2020,Kharif,Cotton,Andhra Pradesh,Chittoor,Canal,919.73,158.0,1484.0,1364.88
2020-02-08,2020,Kharif,Cotton,Maharashtra,Pune,Drip,98.42,71.0,1223.0,120.37
2024-04-12,2024,Rabi,Potato,Bihar,Gaya,Rainfed,389.92,146.0,25892.0,10095.81
2015-09-03,2015,Perennial,Apple,Himachal Pradesh,Kangra,Rainfed,125.31,150.0,7005.0,877.8
2021-07-13,2021,Kharif,Rice,West Bengal,Darjeeling,Rainfed,816.17,171.0,4478.0,3654.81
2025-03-01,2025,Rabi,Pulses,Madhya Pradesh,Bhopal,Tube Well,189.46,109.0,2094.0,396.73
2024-07-13,2024,Kharif,Maize,Andhra Pradesh,Krishna,Tube Well,554.95,53.0,3480.0,1931.23
2017-05-15,2017,Perennial,Apple,Himachal Pradesh,Kangra,Rainfed,411.25,172.0,9154.0,3764.58
2021-02-16,2021,Kharif,Cotton,Gujarat,Vadodara,Tube Well,1099.31,117.0,613.0,673.88
2017-06-23,2017,Rabi,Potato,West Bengal,Darjeeling,Rainfed,797.64,177.0,26666.0,21269.87
2025-04-25,2025,Zaid,Coconut,Karnataka,Belgaum,Canal,477.86,166.0,8422.0,4024.54
2017-10-17,2017,Zaid,Coconut,Kerala,Thrissur,Drip,461.87,125.0,8794.0,4061.68
2019-10-12,2019,Rabi,Oilseeds,Maharashtra,Nagpur,Tube Well,899.7,200.0,1729.0,1555.58
2023-09-20,2023,Kharif,Oilseeds,Gujarat,Rajkot,Tube Well,1051.17,119.0,2575.0,2706.76
2024-10-13,2024,Kharif,Rice,West Bengal,Darjeeling,Canal,978.55,154.0,3043.0,2977.73
2021-01-16,2021,Kharif,Maize,Madhya Pradesh,Bhopal,Rainfed,745.47,150.0,5980.0,4457.91
2021-12-23,2021,Kharif,Rice,Chhattisgarh,Raipur,Rainfed,569.39,128.0,2163.0,1231.59
2021-09-01,2021,Rabi,Wheat,Rajasthan,Jodhpur,Rainfed,111.29,138.0,2247.0,250.07
2016-11-14,2016,Kharif,Rice,Odisha,Bhubaneswar,Canal,675.4,170.0,5835.0,3940.96
2018-02-13,2018,Kharif,Pulses,Uttar Pradesh,Lucknow,Canal,1223.74,136.0,2673.0,3271.06
2021-06-04,2021,Rabi,Pulses,Maharashtra,Nagpur,Rainfed,1142.45,118.0,1912.0,2184.36
2025-07-31,2025,Perennial,Apple,Himachal Pradesh,Shimla,Rainfed,463.16,149.0,6293.0,2914.67
2016-10-23,2016,Rabi,Potato,West Bengal,Howrah,Rainfed,564.98,55.0,14334.0,8098.42
2016-06-12,2016,Kharif,Pulses,Madhya Pradesh,Bhopal,Rainfed,527.52,66.0,1324.0,698.44
2021-06-28,2021,Kharif,Cotton,Maharashtra,Pune,Rainfed,22.32,69.0,394.0,8.79
2017-11-14,2017,Perennial,Sugarcane,Maharashtra,Mumbai,Tube Well,748.89,114.0,99148.0,74250.95
2016-06-27,2016,Kharif,Cotton,Andhra Pradesh,Chittoor,Canal,573.11,181.0,1148.0,657.93
2018-07-01,2018,Kharif,Maize,Karnataka,Mysore,Drip,1058.91,146.0,7100.0,7518.26
2017-10-02,2017,Rabi,Pulses,Rajasthan,Udaipur,Rainfed,632.18,196.0,2214.0,1399.65
2024-11-20,2024,Rabi,Pulses,Maharashtra,Mumbai,Drip,1038.91,56.0,1429.0,1484.6
2019-10-04,2019,Rabi,Pulses,Maharashtra,Pune,Tube Well,83.52,158.0,2191.0,182.99
2022-07-10,2022,Kharif,Maize,Madhya Pradesh,Bhopal,Rainfed,327.6,97.0,4223.0,1383.45
2017-07-23,2017,Kharif,Maize,Telangana,Nizamabad,Rainfed,629.48,53.0,3898.0,2453.71
2020-01-03,2020,Perennial,Sugarcane,Karnataka,Hubli,Canal,42.33,174.0,123348.0,5221.32
2021-12-05,2021,Kharif,Pulses,Uttar Pradesh,Lucknow,Canal,361.36,74.0,2442.0,882.44
2023-08-12,2023,Rabi,Wheat,Uttar Pradesh,Kanpur,Canal,1332.39,82.0,4757.0,6338.18
2025-01-10,2025,Zaid,Coconut,Karnataka,Mysore,Tube Well,151.46,101.0,11553.0,1749.82
2023-03-20,2023,Rabi,Potato,Punjab,Ludhiana,Tube Well,86.55,168.0,27335.0,2365.84
2018-02-07,2018,Kharif,Oilseeds,Gujarat,Rajkot,Rainfed,700.9,144.0,1976.0,1384.98
2023-11-26,2023,Kharif,Pulses,Uttar Pradesh,Varanasi,Rainfed,1420.23,90.0,1696.0,2408.71
2022-12-04,2022,Rabi,Oilseeds,Madhya Pradesh,Bhopal,Tube Well,669.35,75.0,1735.0,1161.32
2017-11-08,2017,Perennial,Sugarcane,Tamil Nadu,Chennai,Tube Well,1072.5,66.0,94212.0,101042.37
2018-03-17,2018,Perennial,Coffee,Kerala,Thrissur,Drip,605.28,72.0,1311.0,793.52
